iter	Passed	Remaining
0	0	49
1	0	44
2	1	42
3	1	39
4	2	38
5	2	38
6	2	38
7	3	37
8	3	37
9	4	36
10	4	36
11	4	35
12	5	35
13	5	34
14	6	34
15	6	33
16	6	33
17	7	32
18	7	32
19	7	31
20	8	31
21	8	31
22	9	30
23	9	30
24	9	29
25	10	29
26	10	29
27	11	28
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	26
34	13	25
35	14	25
36	14	25
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	20
47	18	20
48	19	19
49	19	19
50	19	19
51	20	18
52	20	18
53	21	17
54	21	17
55	21	17
56	22	16
57	22	16
58	22	15
59	23	15
60	23	15
61	24	14
62	24	14
63	24	13
64	25	13
65	25	13
66	25	12
67	26	12
68	26	12
69	27	11
70	27	11
71	27	10
72	28	10
73	28	10
74	29	9
75	29	9
76	29	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	35	3
91	35	3
92	36	2
93	36	2
94	37	1
95	37	1
96	37	1
97	38	0
98	38	0
99	39	0
