iter	Passed	Remaining
0	47	47594
1	48	24017
2	48	16155
3	49	12223
4	49	9865
5	50	8293
6	50	7170
7	51	6329
8	51	5672
9	51	5147
10	52	4718
11	52	4360
12	53	4056
13	53	3796
14	54	3571
15	54	3374
16	55	3200
17	55	3044
18	56	2905
19	56	2780
20	57	2666
21	57	2563
22	58	2469
23	58	2381
24	58	2297
25	59	2224
26	59	2156
27	60	2093
28	60	2034
29	61	1980
30	61	1928
31	62	1881
32	62	1836
33	63	1793
34	63	1753
35	64	1715
36	64	1679
37	64	1642
38	65	1607
39	65	1582
40	66	1550
41	66	1527
42	67	1498
43	67	1470
44	68	1444
45	68	1418
46	68	1393
47	69	1370
48	69	1350
49	70	1331
50	70	1312
51	71	1294
52	71	1277
53	72	1261
54	72	1245
55	73	1230
56	73	1213
57	73	1196
58	74	1180
59	74	1165
60	74	1150
61	75	1135
62	75	1121
63	76	1119
64	77	1108
65	77	1096
66	77	1083
67	78	1071
68	78	1059
69	78	1047
70	79	1036
71	79	1025
72	79	1014
73	80	1003
74	80	993
75	80	983
76	81	973
77	81	964
78	81	955
79	82	946
80	82	937
81	82	928
82	83	918
83	83	910
84	83	902
85	87	932
86	88	925
87	88	919
88	89	912
89	89	906
90	90	900
91	90	894
92	91	888
93	95	924
94	96	918
95	96	912
96	97	906
97	97	900
98	98	894
99	98	888
100	99	883
101	99	877
102	100	872
103	100	867
104	101	861
105	101	856
106	102	851
107	102	846
108	107	876
109	107	871
110	108	865
111	108	861
112	109	856
113	109	851
114	109	846
115	110	841
116	110	836
117	111	831
118	113	839
119	113	833
120	114	828
121	114	822
122	114	817
123	115	812
124	115	807
125	115	802
126	116	797
127	116	792
128	116	788
129	117	784
130	117	780
131	118	777
132	118	773
133	119	769
134	119	766
135	120	762
136	120	758
137	120	755
138	121	751
139	121	748
140	122	745
141	122	740
142	123	737
143	123	734
144	123	730
145	124	727
146	124	724
147	125	721
148	125	717
149	126	714
150	126	710
151	126	706
152	127	703
153	127	699
154	127	696
155	128	693
156	128	690
157	128	686
158	129	683
159	129	680
160	129	676
161	130	673
162	130	669
163	130	666
164	131	663
165	131	660
166	131	657
167	132	654
168	132	652
169	133	649
170	133	647
171	133	645
172	134	642
173	134	640
174	135	638
175	135	635
176	136	633
177	136	631
178	137	628
179	137	626
180	138	625
181	138	622
182	138	619
183	139	617
184	139	614
185	139	612
186	140	609
187	140	606
188	140	604
189	141	601
190	141	599
191	141	597
192	142	594
193	142	592
194	142	589
195	143	587
196	147	602
197	148	600
198	148	598
199	149	596
200	149	594
201	150	593
202	150	591
203	151	589
204	151	587
205	152	585
206	152	584
207	152	582
208	153	580
209	153	579
210	154	577
211	154	575
212	159	588
213	159	587
214	160	585
215	160	583
216	161	581
217	161	579
218	162	578
219	162	576
220	167	590
221	167	588
222	168	586
223	168	584
224	169	583
225	169	581
226	170	579
227	170	577
228	171	576
229	171	574
230	172	572
231	172	571
232	173	569
233	173	567
234	176	574
235	176	572
236	177	570
237	177	568
238	179	571
239	179	569
240	180	567
241	180	565
242	180	563
243	181	561
244	181	560
245	182	558
246	182	557
247	183	555
248	183	553
249	184	552
250	184	550
251	184	548
252	185	546
253	185	544
254	185	543
255	186	541
256	186	539
257	187	538
258	187	537
259	188	537
260	189	535
261	190	535
262	190	533
263	190	532
264	191	530
265	191	529
266	192	527
267	192	525
268	192	523
269	193	521
270	193	520
271	193	518
272	194	516
273	194	515
274	194	513
275	195	511
276	195	510
277	195	508
278	196	507
279	196	505
280	197	504
281	197	503
282	198	501
283	198	500
284	199	499
285	199	498
286	199	496
287	200	495
288	200	494
289	201	492
290	201	491
291	202	490
292	202	488
293	202	487
294	203	485
295	203	484
296	203	482
297	204	481
298	204	479
299	204	478
300	205	476
301	205	475
302	206	473
303	206	472
304	206	471
305	207	469
306	207	468
307	207	466
308	208	465
309	208	464
310	208	462
311	209	461
312	209	460
